"timestamp_utc","action","ticker","price_sar","shares","entry_price","pl_sar","purification_sar","balance_after_sar"
"2026-08-16T07:20:18","BUY","2222.SR","26.6","3.706917","26.6","","","98.604"
"2026-08-16T10:30:26","SELL","2222.SR","26.64","3.706917","26.6","0.1483","0.0148","98.7375"
"2026-08-16T10:35:15","BUY","2222.SR","26.66","3.703582","26.66","","","98.7375"
"2026-08-17T07:25:17","SELL","2222.SR","26.64","3.703582","26.66","-0.0741","0","98.6634"
"2026-08-17T07:55:15","BUY","1211.SR","64.95","1.519067","64.95","","","98.6634"
"2026-08-17T09:25:17","SELL","1211.SR","65.05","1.519067","64.95","0.1519","0.0152","98.8001"
"2026-08-17T10:40:16","BUY","2222.SR","26.62","3.711499","26.62","","","98.8001"
"2026-08-17T11:05:13","SELL","2222.SR","26.58","3.711499","26.62","-0.1485","0","98.6516"
"2026-08-17T11:10:20","BUY","2222.SR","26.58","3.711497","26.58","","","98.6516"
"2026-08-17T11:50:20","SELL","2222.SR","26.56","3.711497","26.58","-0.0742","0","98.5774"
"2026-08-17T11:56:56","BUY","2010.SR","49.7","1.983449","49.7","","","98.5774"
"2026-08-17T12:00:31","SELL","2010.SR","49.7","1.983449","49.7","0","0","98.5774"
"2026-08-17T12:05:13","BUY","2010.SR","49.7","1.983449","49.7","","","98.5774"
"2026-08-17T12:25:15","SELL","2010.SR","49.62","1.983449","49.7","-0.1587","0","98.4187"
"2026-08-18T07:15:18","BUY","2010.SR","49.68","1.981053","49.68","","","98.4187"
"2026-08-18T08:20:20","SELL","2010.SR","49.7","1.981053","49.68","0.0396","0.004","98.4543"
"2026-08-18T08:45:19","BUY","1120.SR","64.8","1.519356","64.8","","","98.4543"
"2026-08-18T08:50:20","SELL","1120.SR","64.7","1.519356","64.8","-0.1519","0","98.3024"
"2026-08-18T09:40:23","BUY","2280.SR","48.32","2.034404","48.32","","","98.3024"
"2026-08-18T09:50:21","SELL","2280.SR","48.2","2.034404","48.32","-0.2441","0","98.0583"
"2026-08-18T09:53:03","BUY","2222.SR","26.6","3.686402","26.6","","","98.0583"
"2026-08-18T09:55:14","SELL","2222.SR","26.6","3.686402","26.6","0","0","98.0583"
"2026-08-18T10:05:16","BUY","1120.SR","64.8","1.513245","64.8","","","98.0583"
"2026-08-18T10:10:19","SELL","1120.SR","64.75","1.513245","64.8","-0.0757","0","97.9826"
"2026-08-18T10:30:26","BUY","7010.SR","43.62","2.246277","43.62","","","97.9826"
"2026-08-18T10:35:15","SELL","7010.SR","43.6","2.246277","43.62","-0.0449","0","97.9377"
"2026-08-18T10:40:17","BUY","7010.SR","43.62","2.245248","43.62","","","97.9377"
"2026-08-18T10:45:21","SELL","7010.SR","43.6","2.245248","43.62","-0.0449","0","97.8928"
"2026-08-18T10:55:18","BUY","7010.SR","43.64","2.24319","43.64","","","97.8928"
"2026-08-19T07:50:18","SELL","7010.SR","43.58","2.24319","43.64","-0.1346","0","97.7582"
"2026-08-19T08:00:32","BUY","2280.SR","48.28","2.024818","48.28","","","97.7582"
"2026-08-19T10:45:20","SELL","2280.SR","48.32","2.024818","48.28","0.081","0.0081","97.8311"
"2026-08-19T11:20:21","BUY","2222.SR","26.66","3.669584","26.66","","","97.8311"
"2026-08-20T07:15:21","SELL","2222.SR","26.32","3.669584","26.66","-1.2477","0","96.5834"
"2026-08-20T07:20:18","BUY","1180.SR","41.72","2.315038","41.72","","","96.5834"
"2026-08-20T08:40:19","SELL","1180.SR","41.6","2.315038","41.72","-0.2778","0","96.3056"
"2026-08-20T08:55:15","BUY","1180.SR","41.66","2.311704","41.66","","","96.3056"
